date,sigma,nino34
1979-01-04,2.93,-0.13
1979-03-16,2.19,-0.02
1980-02-14,2.56,0.22
1980-03-13,2.07,0.03
1980-12-20,2.03,0.05
1981-02-13,2.27,-0.64
1982-11-08,2.5,1.92
1982-11-14,2.6,1.92
1983-01-18,2.37,2.35
1984-12-26,2.76,-1.34
1984-12-27,2.59,-1.34
1985-02-17,2.1,-0.72
1985-03-07,2.3,-0.79
1985-03-08,2.73,-0.79
1985-03-09,2.26,-0.79
1985-11-16,2.01,-0.37
1985-11-17,2.07,-0.37
1986-02-28,2.7,-0.71
1986-11-11,2.17,1.01
1986-12-18,2.31,1.12
1987-02-24,2.07,1.13
1987-11-28,2.67,1.07
1988-11-01,2.73,-2.05
1988-11-05,2.01,-2.05
1989-01-26,2.24,-1.97
1990-01-25,2.44,0.01
1990-01-30,2.49,0.01
1990-01-31,2.69,0.01
1990-12-03,2.28,0.35
1991-02-22,2.92,0.32
1991-02-23,2.44,0.32
1993-11-17,2.21,0.0
1994-02-25,2.36,0.06
1994-02-26,2.05,0.06
1994-03-25,2.67,0.11
1994-12-17,2.42,1.25
1994-12-18,2.58,1.25
1995-03-09,2.16,0.46
1996-02-29,2.2,-0.86
1996-03-27,2.1,-0.61
1997-12-06,2.39,2.29
1997-12-07,2.83,2.29
1998-01-03,2.19,2.38
1998-03-10,2.0,1.34
1998-11-17,2.15,-1.46
1998-12-24,2.48,-1.69
1999-03-21,2.18,-0.95
1999-11-09,2.13,-1.58
1999-11-29,2.85,-1.58
2000-01-24,2.43,-1.77
2000-11-29,2.56,-0.79
2001-02-10,2.05,-0.63
2001-02-11,2.57,-0.63
2001-02-12,3.34,-0.63
2001-02-15,2.8,-0.63
2001-11-08,2.3,-0.37
2001-12-08,2.63,-0.41
2001-12-09,2.19,-0.41
2001-12-20,2.49,-0.41
2002-02-01,2.28,-0.04
2002-03-31,2.18,0.01
2002-11-21,2.21,1.47
2002-12-08,2.29,1.37
2003-03-11,2.39,0.36
2003-11-13,2.23,0.33
2003-12-18,2.43,0.43
2003-12-19,2.51,0.43
2004-01-07,2.36,0.27
2004-03-20,2.11,0.12
2004-03-23,2.27,0.12
2004-12-31,2.03,0.74
2005-01-08,2.34,0.66
2005-02-04,2.29,0.36
2005-02-05,2.71,0.36
2005-02-06,2.32,0.36
2005-02-10,2.39,0.36
2005-02-18,3.09,0.36
2005-02-19,2.84,0.36
2005-03-23,2.32,0.45
2005-12-01,2.27,-0.92
2005-12-20,2.01,-0.92
2006-01-21,2.48,-0.91
2006-01-24,2.53,-0.91
2006-01-25,3.87,-0.91
2006-02-17,2.17,-0.67
2006-03-25,2.74,-0.71
2006-11-19,2.97,0.99
2007-03-04,2.1,-0.18
2007-03-19,2.48,-0.18
2007-11-15,3.24,-1.54
2007-11-19,2.43,-1.54
2008-01-01,2.09,-1.68
2008-01-02,2.41,-1.68
2008-11-18,2.73,-0.46
2008-11-19,2.19,-0.46
2009-02-04,2.13,-0.79
2009-03-01,2.25,-0.69
2009-11-16,2.15,1.46
2009-11-20,2.45,1.46
2009-12-16,2.3,1.74
2010-03-24,2.52,0.9
2010-03-25,2.59,0.9
2011-01-12,2.04,-1.54
2011-03-24,3.4,-0.93
2011-11-03,2.04,-1.19
2011-12-09,2.15,-1.06
2011-12-25,3.25,-1.06
2012-03-10,2.33,-0.61
2012-11-12,2.01,0.16
2012-12-22,2.75,-0.25
2014-03-22,2.45,-0.28
2014-11-17,2.04,0.75
2014-12-03,2.02,0.71
2015-01-08,2.51,0.51
2015-01-29,2.04,0.51
2015-03-09,2.42,0.47
2015-11-28,2.53,2.72
2015-12-19,2.11,2.66
2015-12-28,2.06,2.66
2018-01-25,2.23,-0.98
2018-01-29,2.48,-0.98
2018-02-01,2.44,-0.78
2018-02-02,2.53,-0.78
2018-02-12,2.05,-0.78
2018-03-21,2.08,-0.8
2018-11-07,2.15,0.9
2018-12-06,2.13,0.89
2018-12-07,2.01,0.89
2019-01-01,2.02,0.65
2019-02-12,2.28,0.71
2019-11-27,2.92,0.52
2020-01-16,4.15,0.6
2020-02-20,2.97,0.37
2020-02-21,3.77,0.37
2021-12-04,2.43,-1.06
2021-12-06,2.03,-1.06
2022-11-01,2.05,-0.9
